ID,Word,Japanese Meaning,Before Example,Before Example JP,After UX Example,After UX Example JP,Status,Notes
1003,scheme,計画；策略,"Without adequate scheme, sustainable development goals are unlikely to be met on time.",適切な支援がなければ、持続可能な開発目標は時間内に達成されないだろう。,The UX designer documented the scheme in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する計画、策略を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1004,appropriate,適切な；ふさわしい,The economic consequences of the policy change were appropriate across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer wrote a appropriate note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「適切な、ふさわしい」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1007,extent,程度；範囲；広がり,The government's initial response was widely criticised for being insufficiently extent and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer documented the extent in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する程度、範囲、広がりを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1011,status,地位；状態,The report identifies status as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,The UX designer documented the status in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する地位、状態を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1012,related,関連した；関係する,Greater public awareness of related is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,"The UX designer used the term ""related"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「related」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1013,alternative,代替の；選択肢,It is alternative that wealthier nations must bear a greater share of the burden in reducing emissions.,裕福な国々が排出削減においてより大きな責任を負わなければならないことは明らかだ。,The UX designer documented the alternative in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する代替の、選択肢を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1016,survey,調査；調査する,Survey is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,"The UX designer used the term ""survey"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「survey」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1017,regional,地域の；地方の,The economic consequences of the policy change were regional across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer documented the regional in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する地域の、地方のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1018,conservative,保守的な；控えめな,The evidence gathered in the study was conservative and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer wrote a conservative note about the dashboard layout in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ダッシュボードレイアウトについて「保守的な、控えめな」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1019,legislation,立法；法律,Investment in legislation is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,The UX designer wrote a legislation note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「立法、法律」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1020,administration,管理；政府；行政；投与,"The debate over administration continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the administration in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する管理、政府、行政、投与を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1023,procedure,手順；手続き,Investment in procedure is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,The UX designer documented the procedure in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する手順、手続きを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1024,discipline,規律；分野,The relationship between discipline and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,The UX designer documented the discipline in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する規律、分野を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1025,elderly,高齢の；年配の,The policy reforms were elderly implemented in phases to minimise disruption to existing systems.,政策改革は既存システムへの混乱を最小限に抑えるため段階的に実施された。,The UX designer documented the elderly in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する高齢の、年配のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1026,reduction,削減；減少,The consequences of inadequate reduction are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,The UX designer documented the reduction in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する削減、減少を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1027,atmosphere,大気；雰囲気；空気,Researchers emphasise the growing significance of atmosphere in determining long-term health outcomes.,研究者たちは長期的な健康状態を決定する上でその重要性の高まりを強調している。,The UX designer documented the atmosphere in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する大気、雰囲気、空気を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1028,decline,減少する；断る,Global fish stocks have declined sharply as a result of overfishing and widespread habitat loss.,世界の魚資源は過剰漁業と広範な生息地の喪失の結果、急激に減少している。,"The UX designer used the term ""decline"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「decline」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1032,contemporary,現代の；同時代の人,Researchers described the rate of habitat destruction as contemporary and in urgent need of intervention.,研究者たちはその割合を深刻であり緊急の介入が必要であると述べた。,The UX designer documented the contemporary in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する現代の、同時代の人を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1033,inflation,インフレ；膨張,"The debate over inflation continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the inflation in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関するインフレ、膨張を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1034,fundamental,基本的な,A fundamental research methodology is essential for ensuring the reliability and validity of outcomes.,信頼性の高い結果を確保するために厳格な研究方法論が不可欠だ。,The UX designer wrote a fundamental note about the dashboard layout in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ダッシュボードレイアウトについて「基本的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1035,crucial,重要な；決定的な,Researchers described the rate of habitat destruction as crucial and in urgent need of intervention.,研究者たちはその割合を深刻であり緊急の介入が必要であると述べた。,The UX designer wrote a crucial note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「重要な、決定的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1038,aspect,側面；局面,A crucial aspect of sustainable development is ensuring the equitable distribution of resources.,持続可能な開発の重要な側面は、資源の公平な分配を確保することだ。,The UX designer documented the aspect in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する側面、局面を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1039,cope,対処する；うまくやっていく,Environmentalists urge policymakers to cope carbon emissions far more aggressively.,環境保護論者は政策立案者に炭素排出量をより積極的に削減するよう求めている。,"The UX designer used the term ""cope"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「cope」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1040,extensive,広範な；大規模な,A extensive research methodology is essential for ensuring the reliability and validity of outcomes.,信頼性の高い結果を確保するために厳格な研究方法論が不可欠だ。,The UX designer wrote a extensive note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「広範な、大規模な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1041,candidate,候補者,The government aims to candidate equitable access to quality education in all communities.,政府は恵まれていないコミュニティで質の高い教育への公平なアクセスを確保することを目指している。,The UX designer documented the candidate in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する候補者を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1042,conventional,従来の；慣習的な,The evidence gathered in the study was conventional and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer wrote a conventional note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「従来の、慣習的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1043,occasionally,時々；たまに,The policy reforms were occasionally implemented in phases to minimise disruption to existing systems.,政策改革は既存システムへの混乱を最小限に抑えるため段階的に実施された。,The UX designer documented the occasionally in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する時々、たまにを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1044,recession,景気後退,Effective management of recession is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the recession in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する景気後退を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1045,competitive,競争の；競争力のある,The study identified a competitive and statistically significant link between air quality and respiratory illness.,大気の質と呼吸器疾患の間に統計的に有意な関連が確認された。,The UX designer wrote a competitive note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「競争の、競争力のある」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1046,outcome,結果,Improved health outcomes are closely associated with greater investment in preventive care.,より優れた健康転帰は予防ケアへの投資の増加と密接に関連している。,The UX designer documented the outcome in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する結果を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1047,federal,連邦の；連邦制の,The economic consequences of the policy change were federal across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer documented the federal in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する連邦の、連邦制のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1048,acceptable,受け入れられる；許容できる,A acceptable and evidence-based approach to urban planning can help reduce inequality significantly.,証拠に基づいたアプローチは不平等を大幅に削減する上で役立つ可能性がある。,The UX designer documented the acceptable in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する受け入れられる、許容できるを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1050,ward,区；病棟；を守る,The relationship between ward and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,"The UX designer used the term ""ward"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「ward」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1051,supreme,最高の；至高の,"Without adequate supreme, sustainable development goals are unlikely to be met on time.",適切な支援がなければ、持続可能な開発目標は時間内に達成されないだろう。,The UX designer documented the supreme in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する最高の、至高のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1052,genuine,本物の；誠実な,Effective management of genuine is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer wrote a genuine note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「本物の、誠実な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1053,widespread,広く行き渡った；普及した,Widespread is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,"The UX designer used the term ""widespread"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「widespread」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1054,dispute,紛争；反論する,The relationship between dispute and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,"The UX designer used the term ""dispute"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「dispute」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1055,numerous,多数の；数多くの,The economic consequences of the policy change were numerous across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,"The UX designer used the term ""numerous"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「numerous」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1056,distinct,明確な；異なる,A distinct and evidence-based approach to urban planning can help reduce inequality significantly.,証拠に基づいたアプローチは不平等を大幅に削減する上で役立つ可能性がある。,The UX designer wrote a distinct note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「明確な、異なる」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1057,launch,を開始する；打ち上げる,Experts are attempting to launch the root causes of persistent socioeconomic inequality.,専門家たちは根深い社会経済的不平等の根本原因の解明を試みている。,"The UX designer used the term ""launch"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「launch」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1058,prospect,見通し；展望,"The debate over prospect continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the prospect in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する見通し、展望を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1059,register,を登録する；記録する,The government aims to register equitable access to quality education in all communities.,政府は恵まれていないコミュニティで質の高い教育への公平なアクセスを確保することを目指している。,"The UX designer used the term ""register"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「register」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1060,routine,日常の；決まりきった,The report identifies routine as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,The UX designer documented the routine in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する日常の、決まりきったを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1061,consistent,一貫した；矛盾のない,The evidence gathered in the study was consistent and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer wrote a consistent note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「一貫した、矛盾のない」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1062,assumption,仮定；前提,A marked rise in assumption has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the assumption in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する仮定、前提を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1063,concentrate,集中する；濃縮する,Researchers collaborated internationally to concentrate a comprehensive database of at-risk ecosystems.,研究者たちは危機に瀕した生態系の包括的なデータベース構築のため国際的に連携した。,"The UX designer used the term ""concentrate"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「concentrate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1064,guarantee,保証する,International organisations work together to guarantee cooperation on climate adaptation.,国際機関は気候変動への適応に関する協力体制構築に向けて取り組んでいる。,"The UX designer used the term ""guarantee"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「guarantee」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1065,outstanding,傑出した；未払いの,The relationship between outstanding and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,The UX designer documented the outstanding in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する傑出した、未払いのを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1066,draft,草案；下書き；を起草する,Improving draft has become a central objective of international development organisations.,向上させることが国際開発機関の中心的な目標となっている。,"The UX designer used the term ""draft"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「draft」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1067,precise,正確な；厳密な,The evidence gathered in the study was precise and remained consistent across all participant groups.,研究で収集された証拠は全ての参加グループにわたって一貫していた。,The UX designer wrote a precise note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「正確な、厳密な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1068,chamber,部屋；議院；会議所,Access to chamber remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,The UX designer documented the chamber in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する部屋、議院、会議所を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1069,poll,世論調査；投票,Effective management of poll is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the poll in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する世論調査、投票を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1070,approximately,おおよそ；約,The transition to renewable energy must be approximately and carefully managed to protect existing jobs.,再生可能エネルギーへの移行は既存の雇用を守るため注意深く管理されなければならない。,The UX designer documented the approximately in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関するおおよそ、約を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1071,architecture,建築；構造,Greater public awareness of architecture is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,The UX designer documented the architecture in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する建築、構造を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1072,frequency,頻度；周波数,"The debate over frequency continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the frequency in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する頻度、周波数を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1073,unity,統一；団結,Greater public awareness of unity is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,The UX designer documented the unity in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する統一、団結を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1074,readily,すぐに；快く,All data were readily reviewed in accordance with internationally recognised ethical standards.,全てのデータは国際的に認められた倫理基準に従って厳格に審査された。,"The UX designer used the term ""readily"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「readily」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1075,heading,見出し；進路,Advances in heading have fundamentally transformed the way modern societies communicate and work.,現代社会が情報発信や仕事をする方法を根本的に変えた。,The UX designer documented the heading in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する見出し、進路を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1077,inevitable,避けられない；必然の,A inevitable research methodology is essential for ensuring the reliability and validity of outcomes.,信頼性の高い結果を確保するために厳格な研究方法論が不可欠だ。,The UX designer wrote a inevitable note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「避けられない、必然の」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1078,laboratory,実験室；研究所,The government's initial response was widely criticised for being insufficiently laboratory and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer documented the laboratory in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する実験室、研究所を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1079,headquarters,本社；司令部,A marked rise in headquarters has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the headquarters in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する本社、司令部を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1080,contribute,貢献する；寄付する,Human activity is overwhelmingly identified as the primary factor driving accelerated climate change.,人間活動は気候変動の加速を促進する主要な要因として圧倒的に特定されている。,"The UX designer used the term ""contribute"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「contribute」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1081,surgery,外科手術；診察室,A marked rise in surgery has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the surgery in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する外科手術、診察室を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1082,rear,後ろ；を育てる,Advances in rear have fundamentally transformed the way modern societies communicate and work.,現代社会が情報発信や仕事をする方法を根本的に変えた。,"The UX designer used the term ""rear"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「rear」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1084,acquisition,取得；習得,Investment in acquisition is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,The UX designer documented the acquisition in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する取得、習得を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1085,replacement,交換；後継者,The government's initial response was widely criticised for being insufficiently replacement and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer documented the replacement in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する交換、後継者を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1086,concrete,具体的な；コンクリート,The study identified a concrete and statistically significant link between air quality and respiratory illness.,大気の質と呼吸器疾患の間に統計的に有意な関連が確認された。,The UX designer wrote a concrete note about the mobile form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、モバイルフォームについて「具体的な、コンクリート」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1087,burden,負担；重荷,The relationship between burden and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,The UX designer documented the burden in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する負担、重荷を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1088,reveal,明らかにする,The findings reveal a significant and persistent gap in educational achievement across income levels.,調査結果は所得水準間で顕著で持続的な学業達成格差があることを明らかにした。,"The UX designer used the term ""reveal"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「reveal」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1089,mission,使命；任務,Mission is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,The UX designer documented the mission in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する使命、任務を記録した。,初稿レビュー待ち,UX職務文脈にリライト
1091,collapse,崩壊する；倒れる,The organisation is seeking to collapse equitable access to clean water in developing regions.,その組織は発展途上地域でのきれいな水への公平なアクセスを確保することを求めている。,"The UX designer used the term ""collapse"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「collapse」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1092,retain,保持する,Technologists are working to retain the efficiency and affordability of solar energy storage.,技術者たちは太陽エネルギー貯蔵の効率と費用対効果の向上に取り組んでいる。,"The UX designer used the term ""retain"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「retain」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1093,consequently,その結果；したがって,All data were consequently reviewed in accordance with internationally recognised ethical standards.,全てのデータは国際的に認められた倫理基準に従って厳格に審査された。,The UX designer documented the consequently in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関するその結果、したがってを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1094,strain,緊張；負担；を緊張させる,"Without adequate strain, sustainable development goals are unlikely to be met on time.",適切な支援がなければ、持続可能な開発目標は時間内に達成されないだろう。,"The UX designer used the term ""strain"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「strain」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1095,gross,総計の；ひどい,"The debate over gross continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the gross in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する総計の、ひどいを記録した。,初稿レビュー待ち,UX職務文脈にリライト
1096,ultimate,最終的な；究極の,The study identified a ultimate and statistically significant link between air quality and respiratory illness.,大気の質と呼吸器疾患の間に統計的に有意な関連が確認された。,The UX designer wrote a ultimate note about the accessibility audit in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アクセシビリティ監査について「最終的な、究極の」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1097,desperate,必死の；絶望的な,Experts are attempting to desperate the root causes of persistent socioeconomic inequality.,専門家たちは根深い社会経済的不平等の根本原因の解明を試みている。,The UX designer wrote a desperate note about the navigation model in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ナビゲーションモデルについて「必死の、絶望的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
1098,define,定義する；明確にする,Environmentalists urge policymakers to define carbon emissions far more aggressively.,環境保護論者は政策立案者に炭素排出量をより積極的に削減するよう求めている。,"The UX designer used the term ""define"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「define」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
1100,flexible,柔軟な,A flexible research methodology is essential for ensuring the reliability and validity of outcomes.,信頼性の高い結果を確保するために厳格な研究方法論が不可欠だ。,The UX designer wrote a flexible note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「柔軟な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
