ID,単語 Word,発音記号,品詞,難易度 CEFR,カテゴリ,日本語訳,例文 Example,例文訳,語源・語根,接頭辞,類義語 Synonyms,反義語 Antonyms,IELTS頻度,英検頻度,大学入試頻度,総合優先度
352,handle,,名/他,,IELTS VOCAB,扱う；ハンドル,The UX designer documented the handle in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する扱う、ハンドルを記録した。,,,,,★★★,,,🔴 必須
353,panel,,名/他,,IELTS VOCAB,パネル；委員会,The UX designer documented the panel in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関するパネル、委員会を記録した。,,,,,★★★,,,🔴 必須
354,reputation,,名/他,,IELTS VOCAB,評判；名声,The UX designer documented the reputation in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する評判、名声を記録した。,,,,,★★★,,,🔴 必須
355,efficiency,,名/他,,IELTS VOCAB,効率；能率,The UX designer documented the efficiency in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する効率、能率を記録した。,,,,,★★★,,,🔴 必須
356,examine,,動/句,,IELTS VOCAB,検査する；調べる,"The UX designer used the term ""examine"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「examine」という語を使った。,,,,,★★★,,,🔴 必須
357,incident,,名/他,,IELTS VOCAB,出来事；事件,The UX designer documented the incident in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する出来事、事件を記録した。,,,,,★★★,,,🔴 必須
358,extreme,,形,,IELTS VOCAB,極端な；過激な,The UX designer wrote a extreme note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「極端な、過激な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
359,resistance,,名/他,,IELTS VOCAB,抵抗；反対,The UX designer documented the resistance in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する抵抗、反対を記録した。,,,,,★★★,,,🔴 必須
360,admit,,名/他,,IELTS VOCAB,認める,"The UX designer used the term ""admit"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「admit」という語を使った。,,,,,★★★,,,🔴 必須
361,essentially,,形,,IELTS VOCAB,本質的に；基本的に,The UX designer wrote a essentially note about the navigation model in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ナビゲーションモデルについて「本質的に、基本的に」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
362,gradually,,名/他,,IELTS VOCAB,徐々に；だんだん,The UX designer documented the gradually in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する徐々に、だんだんを記録した。,,,,,★★★,,,🔴 必須
363,empire,,名/他,,IELTS VOCAB,帝国,The UX designer documented the empire in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する帝国を記録した。,,,,,★★★,,,🔴 必須
364,defeat,,名/他,,IELTS VOCAB,打ち負かす；敗北,"The UX designer used the term ""defeat"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「defeat」という語を使った。,,,,,★★★,,,🔴 必須
367,solid,,形,,IELTS VOCAB,固体の；堅固な,The UX designer wrote a solid note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「固体の、堅固な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
368,chest,,名/他,,IELTS VOCAB,胸；箱,The UX designer documented the chest in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する胸、箱を記録した。,,,,,★★★,,,🔴 必須
369,awareness,,名/他,,IELTS VOCAB,意識；認識,The UX designer documented the awareness in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する意識、認識を記録した。,,,,,★★★,,,🔴 必須
370,pop,,動/句,,IELTS VOCAB,ポンと音がする；急に現れる,"The UX designer used the term ""pop"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「pop」という語を使った。,,,,,★★★,,,🔴 必須
371,protest,,動/句,,IELTS VOCAB,抗議する；抗議,"The UX designer used the term ""protest"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「protest」という語を使った。,,,,,★★★,,,🔴 必須
372,nearby,,名/他,,IELTS VOCAB,近くの；近くに,"The UX designer used the term ""nearby"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「nearby」という語を使った。,,,,,★★★,,,🔴 必須
373,remarkable,,名/他,,IELTS VOCAB,注目すべき；際立った,"The UX designer used the term ""remarkable"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「remarkable」という語を使った。,,,,,★★★,,,🔴 必須
374,respond,,動/句,,IELTS VOCAB,反応する；答える,"The UX designer used the term ""respond"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「respond」という語を使った。,,,,,★★★,,,🔴 必須
375,introduce,,動/句,,IELTS VOCAB,紹介する；導入する,"The UX designer used the term ""introduce"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「introduce」という語を使った。,,,,,★★★,,,🔴 必須
376,aside,,名/他,,IELTS VOCAB,脇に；別にして,The UX designer documented the aside in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する脇に、別にしてを記録した。,,,,,★★★,,,🔴 必須
377,depend,,動/句,,IELTS VOCAB,依存する；頼る,"The UX designer used the term ""depend"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「depend」という語を使った。,,,,,★★★,,,🔴 必須
378,rent,,動/句,,IELTS VOCAB,賃貸料；賃借りする,"The UX designer used the term ""rent"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「rent」という語を使った。,,,,,★★★,,,🔴 必須
379,survive,,名/他,,IELTS VOCAB,生き残る；乗り越える,"The UX designer used the term ""survive"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「survive」という語を使った。,,,,,★★★,,,🔴 必須
380,rough,,形,,IELTS VOCAB,大まかな；荒い,The UX designer wrote a rough note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「大まかな、荒い」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
381,parallel,,形,,IELTS VOCAB,平行な；類似した,The UX designer wrote a parallel note about the confirmation screen in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、確認画面について「平行な、類似した」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
383,fault,,名/他,,IELTS VOCAB,知性；情報,The UX designer documented the fault in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する知性、情報を記録した。,,,,,★★★,,,🔴 必須
384,apart,,名/他,,IELTS VOCAB,離れて；別として,The UX designer documented the apart in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する離れて、別としてを記録した。,,,,,★★★,,,🔴 必須
385,consequence,,名/他,,IELTS VOCAB,結果；重要性,The UX designer wrote a consequence note about the checkout form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、チェックアウトフォームについて「結果、重要性」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
386,visual,,形,,IELTS VOCAB,視覚の；視覚的な,The UX designer wrote a visual note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「視覚の、視覚的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
387,stable,,名/他,,IELTS VOCAB,安定した,The UX designer documented the stable in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する安定したを記録した。,,,,,★★★,,,🔴 必須
388,fault,,名/他,,IELTS VOCAB,欠点；断層；責任,The UX designer documented the fault in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する欠点、断層、責任を記録した。,,,,,★★★,,,🔴 必須
389,classic,,形,,IELTS VOCAB,典型的な；古典,The UX designer wrote a classic note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「典型的な、古典」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
390,priority,,名/他,,IELTS VOCAB,優先事項,The UX designer documented the priority in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する優先事項を記録した。,,,,,★★★,,,🔴 必須
391,replace,,名/他,,IELTS VOCAB,置き換える,"The UX designer used the term ""replace"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「replace」という語を使った。,,,,,★★★,,,🔴 必須
392,coach,,動/句,,IELTS VOCAB,コーチ；指導する,"The UX designer used the term ""coach"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「coach」という語を使った。,,,,,★★★,,,🔴 必須
393,mere,,形,,IELTS VOCAB,単なる；ほんの,The UX designer wrote a mere note about the navigation model in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ナビゲーションモデルについて「単なる、ほんの」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
394,fail,,動/句,,IELTS VOCAB,失敗する；欠ける,"The UX designer used the term ""fail"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「fail」という語を使った。,,,,,★★★,,,🔴 必須
395,literary,,名/他,,IELTS VOCAB,文学の；文筆の,The UX designer documented the literary in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する文学の、文筆のを記録した。,,,,,★★★,,,🔴 必須
396,comparison,,名/他,,IELTS VOCAB,比較；対照,The UX designer documented the comparison in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する比較、対照を記録した。,,,,,★★★,,,🔴 必須
397,preparation,,名/他,,IELTS VOCAB,準備；用意,The UX designer documented the preparation in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する準備、用意を記録した。,,,,,★★★,,,🔴 必須
398,pale,,名/他,,IELTS VOCAB,青ざめた；薄い,The UX designer documented the pale in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する青ざめた、薄いを記録した。,,,,,★★★,,,🔴 必須
400,judge,,動/句,,IELTS VOCAB,判断する；裁判官；審査する,"The UX designer used the term ""judge"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「judge」という語を使った。,,,,,★★★,,,🔴 必須
401,comfort,,名/他,,IELTS VOCAB,慰め；快適さ,The UX designer documented the comfort in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する慰め、快適さを記録した。,,,,,★★★,,,🔴 必須
402,landscape,,名/他,,IELTS VOCAB,景観；状況,The UX designer documented the landscape in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する景観、状況を記録した。,,,,,★★★,,,🔴 必須
403,arrangement,,名/他,,IELTS VOCAB,手配；取り決め,The UX designer documented the arrangement in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する手配、取り決めを記録した。,,,,,★★★,,,🔴 必須
404,judgement,,名/他,,IELTS VOCAB,判断；判決,The UX designer documented the judgement in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する判断、判決を記録した。,,,,,★★★,,,🔴 必須
405,wage,,名/他,,IELTS VOCAB,賃金；行う,The UX designer documented the wage in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する賃金、行うを記録した。,,,,,★★★,,,🔴 必須
406,classical,,形,,IELTS VOCAB,古典的な；クラシックの,The UX designer wrote a classical note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「古典的な、クラシックの」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
407,mixture,,名/他,,IELTS VOCAB,混合物；混合,The UX designer documented the mixture in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する混合物、混合を記録した。,,,,,★★★,,,🔴 必須
408,tension,,名/他,,IELTS VOCAB,緊張；張力,The UX designer documented the tension in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する緊張、張力を記録した。,,,,,★★★,,,🔴 必須
409,permission,,名/他,,IELTS VOCAB,許可；許諾,The UX designer documented the permission in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する許可、許諾を記録した。,,,,,★★★,,,🔴 必須
410,presentation,,名/他,,IELTS VOCAB,発表；プレゼン,The UX designer documented the presentation in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する発表、プレゼンを記録した。,,,,,★★★,,,🔴 必須
411,affair,,名/他,,IELTS VOCAB,事件；問題；情事,The UX designer documented the affair in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する事件、問題、情事を記録した。,,,,,★★★,,,🔴 必須
412,roll,,名/他,,IELTS VOCAB,転がる；巻く；ロール,"The UX designer used the term ""roll"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「roll」という語を使った。,,,,,★★★,,,🔴 必須
413,delay,,動/句,,IELTS VOCAB,を遅らせる；遅延,"The UX designer used the term ""delay"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「delay」という語を使った。,,,,,★★★,,,🔴 必須
414,hang,,動/句,,IELTS VOCAB,を掛ける；ぶら下がる,"The UX designer used the term ""hang"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「hang」という語を使った。,,,,,★★★,,,🔴 必須
415,confident,,名/他,,IELTS VOCAB,自信のある；確信した,The UX designer wrote a confident note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「自信のある、確信した」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
418,prize,,動/句,,IELTS VOCAB,賞；大切にする,"The UX designer used the term ""prize"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「prize」という語を使った。,,,,,★★★,,,🔴 必須
419,altogether,,名/他,,IELTS VOCAB,全部で；完全に,The UX designer documented the altogether in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する全部で、完全にを記録した。,,,,,★★★,,,🔴 必須
420,feed,,動/句,,IELTS VOCAB,餌を与える；供給する,"The UX designer used the term ""feed"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「feed」という語を使った。,,,,,★★★,,,🔴 必須
421,experiment,,名/他,,IELTS VOCAB,実験；試みる,The UX designer documented the experiment in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する実験、試みるを記録した。,,,,,★★★,,,🔴 必須
422,employee,,名/他,,IELTS VOCAB,従業員；雇用者,The UX designer documented the employee in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する従業員、雇用者を記録した。,,,,,★★★,,,🔴 必須
423,extend,,動/句,,IELTS VOCAB,拡張する；延長する,"The UX designer used the term ""extend"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「extend」という語を使った。,,,,,★★★,,,🔴 必須
424,host,,動/句,,IELTS VOCAB,主催者；主催する,"The UX designer used the term ""host"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「host」という語を使った。,,,,,★★★,,,🔴 必須
425,recall,,動/句,,IELTS VOCAB,思い出す；回収する,"The UX designer used the term ""recall"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「recall」という語を使った。,,,,,★★★,,,🔴 必須
426,load,,名/他,,IELTS VOCAB,荷物；積む；負担,"The UX designer used the term ""load"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「load」という語を使った。,,,,,★★★,,,🔴 必須
427,territory,,名/他,,IELTS VOCAB,領土；縄張り,The UX designer documented the territory in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する領土、縄張りを記録した。,,,,,★★★,,,🔴 必須
428,definitely,,名/他,,IELTS VOCAB,確実に；きっぱりと,The UX designer documented the definitely in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する確実に、きっぱりとを記録した。,,,,,★★★,,,🔴 必須
429,proud,,名/他,,IELTS VOCAB,誇りに思う,The UX designer documented the proud in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する誇りに思うを記録した。,,,,,★★★,,,🔴 必須
430,upset,,名/他,,IELTS VOCAB,動揺させる；混乱した,"The UX designer used the term ""upset"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「upset」という語を使った。,,,,,★★★,,,🔴 必須
431,blame,,動/句,,IELTS VOCAB,非難する；責任,"The UX designer used the term ""blame"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「blame」という語を使った。,,,,,★★★,,,🔴 必須
432,profession,,名/他,,IELTS VOCAB,職業；専門職,The UX designer documented the profession in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する職業、専門職を記録した。,,,,,★★★,,,🔴 必須
435,characteristic,,名/他,,IELTS VOCAB,特徴；特有の,The UX designer documented the characteristic in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する特徴、特有のを記録した。,,,,,★★★,,,🔴 必須
436,sake,,形,,IELTS VOCAB,ために；目的,The UX designer wrote a sake note about the research summary in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、リサーチ要約について「ために、目的」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
437,complicated,,形,,IELTS VOCAB,複雑な,The UX designer wrote a complicated note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「複雑な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
438,dominant,,形,,IELTS VOCAB,支配的な,The UX designer wrote a dominant note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「支配的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
439,constantly,,名/他,,IELTS VOCAB,絶えず；常に,The UX designer documented the constantly in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する絶えず、常にを記録した。,,,,,★★★,,,🔴 必須
440,vary,,動/句,,IELTS VOCAB,異なる；変化する,"The UX designer used the term ""vary"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「vary」という語を使った。,,,,,★★★,,,🔴 必須
441,depth,,名/他,,IELTS VOCAB,深さ；奥行き,The UX designer documented the depth in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する深さ、奥行きを記録した。,,,,,★★★,,,🔴 必須
442,crew,,名/他,,IELTS VOCAB,乗組員；チーム,The UX designer documented the crew in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する乗組員、チームを記録した。,,,,,★★★,,,🔴 必須
443,conscious,,名/他,,IELTS VOCAB,意識のある；自覚した,The UX designer wrote a conscious note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「意識のある、自覚した」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
444,intellectual,,形,,IELTS VOCAB,知的な；知識人,The UX designer wrote a intellectual note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「知的な、知識人」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
445,loose,,動/句,,IELTS VOCAB,ゆるい；解放する,"The UX designer used the term ""loose"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「loose」という語を使った。,,,,,★★★,,,🔴 必須
446,bomb,,動/句,,IELTS VOCAB,爆弾；爆撃する,"The UX designer used the term ""bomb"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「bomb」という語を使った。,,,,,★★★,,,🔴 必須
447,holy,,形,,IELTS VOCAB,神聖な；聖なる,The UX designer wrote a holy note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「神聖な、聖なる」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
448,anxious,,形,,IELTS VOCAB,不安な；熱望している,The UX designer wrote a anxious note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「不安な、熱望している」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
449,guard,,名/他,,IELTS VOCAB,守る；警備員,The UX designer documented the guard in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する守る、警備員を記録した。,,,,,★★★,,,🔴 必須
452,nervous,,名/他,,IELTS VOCAB,緊張した；神経の,The UX designer documented the nervous in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する緊張した、神経のを記録した。,,,,,★★★,,,🔴 必須
453,fee,,名/他,,IELTS VOCAB,手数料；料金,The UX designer documented the fee in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する手数料、料金を記録した。,,,,,★★★,,,🔴 必須
454,tendency,,名/他,,IELTS VOCAB,傾向；性向,The UX designer documented the tendency in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する傾向、性向を記録した。,,,,,★★★,,,🔴 必須
455,accurate,,形,,IELTS VOCAB,正確な；精密な,The UX designer wrote a accurate note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「正確な、精密な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
456,harm,,名/他,,IELTS VOCAB,害；危害,The UX designer documented the harm in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する害、危害を記録した。,,,,,★★★,,,🔴 必須
457,origin,,名/他,,IELTS VOCAB,起源；由来,The UX designer documented the origin in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する起源、由来を記録した。,,,,,★★★,,,🔴 必須
458,gift,,名/他,,IELTS VOCAB,贈り物；才能,The UX designer documented the gift in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する贈り物、才能を記録した。,,,,,★★★,,,🔴 必須
459,suspect,,動/句,,IELTS VOCAB,を疑う；容疑者,"The UX designer used the term ""suspect"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「suspect」という語を使った。,,,,,★★★,,,🔴 必須
460,bond,,名/他,,IELTS VOCAB,絆；結合；債券,The UX designer documented the bond in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する絆、結合、債券を記録した。,,,,,★★★,,,🔴 必須
461,enthusiasm,,名/他,,IELTS VOCAB,熱意；熱狂,The UX designer documented the enthusiasm in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する熱意、熱狂を記録した。,,,,,★★★,,,🔴 必須
462,spare,,動/句,,IELTS VOCAB,余分の；を免除する,"The UX designer used the term ""spare"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「spare」という語を使った。,,,,,★★★,,,🔴 必須
463,extraordinary,,形,,IELTS VOCAB,並外れた；異常な,The UX designer wrote a extraordinary note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「並外れた、異常な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
464,leisure,,名/他,,IELTS VOCAB,余暇；暇,The UX designer documented the leisure in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する余暇、暇を記録した。,,,,,★★★,,,🔴 必須
465,visible,,名/他,,IELTS VOCAB,目に見える,"The UX designer used the term ""visible"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「visible」という語を使った。,,,,,★★★,,,🔴 必須
466,device,,名/他,,IELTS VOCAB,装置；手段,The UX designer documented the device in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する装置、手段を記録した。,,,,,★★★,,,🔴 必須
468,confusion,,名/他,,IELTS VOCAB,混乱；困惑,The UX designer documented the confusion in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する混乱、困惑を記録した。,,,,,★★★,,,🔴 必須
469,steady,,形,,IELTS VOCAB,着実な；安定した,The UX designer wrote a steady note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「着実な、安定した」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
470,stolen,,名/他,,IELTS VOCAB,盗まれた,The UX designer documented the stolen in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する盗まれたを記録した。,,,,,★★★,,,🔴 必須
471,column,,名/他,,IELTS VOCAB,列；欄；円柱,The UX designer documented the column in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する列、欄、円柱を記録した。,,,,,★★★,,,🔴 必須
472,caim,,名/他,,IELTS VOCAB,ケルン（石積み標識）,The UX designer documented the caim in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関するケルン（石積み標識）を記録した。,,,,,★★★,,,🔴 必須
473,climate,,名/他,,IELTS VOCAB,気候；雰囲気,The UX designer documented the climate in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する気候、雰囲気を記録した。,,,,,★★★,,,🔴 必須
474,evil,,名/他,,IELTS VOCAB,悪；悪い,The UX designer documented the evil in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する悪、悪いを記録した。,,,,,★★★,,,🔴 必須
